
1	3	.652
2	3	.376
3	3	.774
4	3	.579
5	3	.698
6	2	1.388
7	3	.333
8	1	.302
9	3	.703
10	3	1.101
11	3	1.141
12	1	1.086
13	1	2.445
14	1	.941
15	3	1.455
16	3	.673
17	3	.488
18	3	.555
19	3	.914
20	3	.475
21	3	.946
22	3	.915
23	1	1.249
24	3	.554
25	3	.564
26	3	.637
27	2	1.056
28	1	.901
29	3	.832
30	3	.728
31	3	1.179
32	3	.736
33	3	.524
34	1	1.248
35	3	.709
36	1	.749
37	3	.862
38	1	2.224
39	1	.062
40	1	.594
41	3	.601
42	2	.637
43	3	.448
44	3	1.391
45	1	.789
46	2	.684
47	3	.984
48	3	.742
49	1	1.137
50	3	.343
51	3	.351
52	1	.381
53	1	.720
54	3	.261
55	3	.403
56	1	1.346
57	1	1.808
58	3	1.397
59	1	.520
60	3	.666
61	3	1.088
62	3	.679
63	3	1.338
64	3	.881
65	3	.573
66	3	.355
67	3	.525
68	3	.976
69	3	.488
70	2	1.895
71	3	.788
72	3	.966
73	3	.927
74	3	.321
75	3	.354
76	1	.226
77	1	.836
78	2	2.626
79	3	1.118
80	3	.230
81	2	.300
82	3	.453
83	2	1.136
84	3	1.134
85	3	.805
86	2	.542
87	1	.884
88	3	.893
89	3	.553
90	1	.373
91	3	.757
92	3	.523
93	3	.792
94	3	.092
95	3	.477
96	3	.606
97	3	.414
98	3	.734
99	1	.743
100	3	.925
101	1	.325
102	3	.474
103	3	.454
104	2	1.110
105	1	.877
106	1	1.252
107	2	3.590
108	1	.622
109	3	.708
110	3	.703
111	2	1.506
112	3	1.018
113	3	.521
114	3	1.058
115	2	.971
116	3	.509
117	2	.712
118	3	1.509
119	3	.329
120	2	.905
121	1	.336
122	3	.894
123	2	.313
124	3	.681
125	3	1.052
126	2	.571
127	3	.911
128	3	.542
129	1	.867
130	3	.767
131	3	1.053
132	3	1.035
133	2	.960
134	1	1.101
135	3	.169
136	3	.853
137	3	.747
138	3	.679
139	2	.793
140	3	.866
141	2	.928
142	3	.664
143	3	.266
144	3	.399
145	3	.817
146	3	.405
147	3	.764
148	1	1.139
149	2	1.293
150	3	.466
151	2	.910
152	2	1.468
153	3	.466
154	1	.680
155	3	1.144
156	3	.659
157	3	.761
158	3	1.309
159	2	.734
160	3	.443
161	2	1.201
162	3	.660
163	3	.762
164	3	.269
165	2	1.174
166	3	.519
167	3	.320
168	3	.507
169	3	.796
170	3	1.297
171	2	.205
172	3	1.047
173	1	1.498
174	3	.952
175	3	.305
176	2	.820
177	3	.472
178	3	.648
179	2	1.956
180	3	.626
181	2	.541
182	3	.741
183	3	.892
184	3	.660
185	2	.564
186	2	1.042
187	3	.990
188	3	.229
189	1	.907
190	3	.654
191	3	.335
192	3	.646
193	3	.396
194	3	.760
195	3	.610
196	1	.435
197	2	1.337
198	3	.104
199	3	.808
200	3	.271
201	1	.853
202	3	.527
203	1	.193
204	2	.932
205	3	.632
206	3	.667
207	3	.313
208	3	.719
209	3	1.024
210	3	.659
211	3	.055
212	1	.704
213	3	.756
214	3	.719
215	3	.537
216	3	.476
217	3	.548
218	3	.503
219	1	.926
220	3	.595
221	2	.823
222	3	.201
223	3	.224
224	3	.826
225	1	.646
226	2	.518
227	3	.625
228	3	1.043
229	3	.250
230	3	.974
231	2	.829
232	1	.431
233	3	.922
234	3	.813
235	3	.819
236	3	.718
237	1	.158
238	2	1.309
239	3	.434
240	3	.266
241	2	.372
242	1	3.429
243	1	.936
244	1	.932
245	2	1.404
246	2	1.012
247	1	1.222
248	2	.604
249	3	.396
250	1	.082
251	2	1.003
252	3	.508
253	3	.750
254	1	1.284
255	2	1.208
256	3	.352
257	2	2.079
258	1	.791
259	3	.248
260	3	.703
261	2	1.646
262	3	.209
263	3	.868
264	3	.513
265	3	.474
266	1	.473
267	1	1.519
268	1	1.360
269	2	1.180
270	3	1.116
271	3	1.047
272	3	.883
273	2	.710
274	1	.516
275	2	.610
276	2	.737
277	2	.213
278	2	1.017
279	2	1.900
280	2	1.769
281	3	1.166
282	3	.569
283	1	.326
284	3	.507
285	3	.487
286	1	.707
287	3	.420
288	3	.732
289	1	.690
290	2	.924
291	2	2.153
292	1	.368
293	3	.486
294	3	.356
295	1	.877
296	2	2.794
297	3	.846
298	3	.567
299	3	.999
300	1	.580
301	1	.555
302	1	1.008
303	3	.630
304	1	.672
305	1	.846
306	3	.536
307	1	.791
308	1	.379
309	3	.811
310	2	.715
311	3	.939
312	2	.877
313	1	.629
314	1	.700
315	3	.996
316	2	.982
317	2	.271
318	2	1.169
319	2	1.036
320	3	.988
321	3	.988
322	3	.887
323	3	.774
324	2	.875
325	1	.770
326	3	.683
327	2	1.312
328	2	.098
329	3	.931
330	3	.464
331	1	.486
332	2	1.086
333	1	1.042
334	1	.191
335	1	1.250
336	3	.609
337	1	.856
338	2	.715
339	1	.544
340	3	.379
341	3	.731
342	2	.810
343	3	.706
344	3	.894
345	1	.619
346	1	.716
347	1	.687
348	2	.320
349	1	.436
350	1	.403
351	1	.543
352	2	.898
353	2	.750
354	2	.300
355	1	.543
356	2	.904
357	2	.292
358	3	1.061
359	3	.204
